TRADE_TYPE,TRADE_START,START_PRICE,TRADE_END,STOP_PRICE,DURATION_DAY,PROFIT_PERCENT
sell,2018-03-07 17:00:00,9910.02,2018-04-15 12:00:00,8330.0,38,31.8873
buy,2018-04-15 12:00:00,8330.0,2018-05-08 13:00:00,9140.0,23,19.4478
sell,2018-05-08 13:00:00,9140.0,2018-07-16 18:00:00,6671.0,69,54.0263
buy,2018-07-16 18:00:00,6671.0,2018-08-02 13:00:00,7510.0,16,25.1537
sell,2018-08-02 13:00:00,7510.0,2018-08-28 12:00:00,7030.0,25,12.783
buy,2018-08-28 12:00:00,7030.0,2018-09-06 00:00:00,6700.0,8,-9.3883
sell,2018-09-06 00:00:00,6700.0,2018-09-21 13:00:00,6732.02,15,-0.9558
buy,2018-09-21 13:00:00,6732.02,2018-09-25 02:00:00,6441.91,3,-8.6188
sell,2018-09-25 02:00:00,6441.91,2018-09-28 08:00:00,6788.99,3,-10.7757
buy,2018-09-28 08:00:00,6788.99,2018-09-29 02:00:00,6490.01,0,-8.8078
sell,2018-09-29 02:00:00,6490.01,2018-10-05 23:00:00,6633.33,6,-4.4166
buy,2018-10-05 23:00:00,6633.33,2018-10-07 08:00:00,6570.93,1,-1.8814
sell,2018-10-07 08:00:00,6570.93,2018-10-08 16:00:00,6674.56,1,-3.1542
buy,2018-10-08 16:00:00,6674.56,2018-10-10 06:00:00,6555.0,1,-3.5826
sell,2018-10-10 06:00:00,6555.0,2018-10-15 06:00:00,6700.0,5,-4.4241
buy,2018-10-15 06:00:00,6700.0,2018-10-19 21:00:00,6532.01,4,-5.0146
sell,2018-10-19 21:00:00,6532.01,2018-11-07 01:00:00,6563.58,18,-0.9666
buy,2018-11-07 01:00:00,6563.58,2018-11-09 10:00:00,6437.02,2,-3.8564
sell,2018-11-09 10:00:00,6437.02,2018-12-20 17:00:00,4092.03,41,72.8595
buy,2018-12-20 17:00:00,4092.03,2018-12-25 04:00:00,3709.1,4,-18.7159
sell,2018-12-25 04:00:00,3709.1,2019-01-06 18:00:00,4007.11,12,-16.0691
buy,2019-01-06 18:00:00,4007.11,2019-01-10 07:00:00,3781.31,3,-11.27
sell,2019-01-10 07:00:00,3781.31,2019-02-08 17:00:00,3687.0,29,4.9882
buy,2019-02-08 17:00:00,3687.0,2019-03-26 13:00:00,3903.13,45,11.7239
sell,2019-03-26 13:00:00,3903.13,2019-03-27 06:00:00,4003.48,0,-5.142
buy,2019-03-27 06:00:00,4003.48,2019-07-15 01:00:00,10008.21,109,299.9755
sell,2019-07-15 01:00:00,10008.21,2019-08-01 19:00:00,10170.36,17,-3.2403
buy,2019-08-01 19:00:00,10170.36,2019-08-14 02:00:00,10617.91,12,8.8011
sell,2019-08-14 02:00:00,10617.91,2019-08-20 00:00:00,10915.54,5,-5.6062
buy,2019-08-20 00:00:00,10915.54,2019-08-21 04:00:00,10323.18,1,-10.8535
