TRADE_TYPE,TRADE_START,START_PRICE,TRADE_END,STOP_PRICE,PROFIT_PERCENT,MONEY
sell,2018-03-07 17:00:00,9910.02,2018-04-15 12:00:00,8330.0,15.94,115.94
buy,2018-04-15 12:00:00,8330.0,2018-05-08 13:00:00,9140.0,9.72,127.21
sell,2018-05-08 13:00:00,9140.0,2018-07-16 18:00:00,6671.0,27.01,161.57
buy,2018-07-16 18:00:00,6671.0,2018-08-02 13:00:00,7510.0,12.58,181.89
sell,2018-08-02 13:00:00,7510.0,2018-08-28 12:00:00,7030.0,6.39,193.52
buy,2018-08-28 12:00:00,7030.0,2018-09-06 00:00:00,6700.0,-4.69,184.44
sell,2018-09-06 00:00:00,6700.0,2018-09-21 13:00:00,6732.02,-0.48,183.56
buy,2018-09-21 13:00:00,6732.02,2018-09-25 02:00:00,6441.91,-4.31,175.64
sell,2018-09-25 02:00:00,6441.91,2018-09-28 08:00:00,6788.99,-5.39,166.18
buy,2018-09-28 08:00:00,6788.99,2018-09-29 02:00:00,6490.01,-4.4,158.87
sell,2018-09-29 02:00:00,6490.01,2018-10-05 23:00:00,6633.33,-2.21,155.35
buy,2018-10-05 23:00:00,6633.33,2018-10-07 08:00:00,6570.93,-0.94,153.89
sell,2018-10-07 08:00:00,6570.93,2018-10-08 16:00:00,6674.56,-1.58,151.46
buy,2018-10-08 16:00:00,6674.56,2018-10-10 06:00:00,6555.0,-1.79,148.75
sell,2018-10-10 06:00:00,6555.0,2018-10-15 06:00:00,6700.0,-2.21,145.46
buy,2018-10-15 06:00:00,6700.0,2018-10-19 21:00:00,6532.01,-2.51,141.81
sell,2018-10-19 21:00:00,6532.01,2018-11-07 01:00:00,6563.58,-0.48,141.13
buy,2018-11-07 01:00:00,6563.58,2018-11-09 10:00:00,6437.02,-1.93,138.41
sell,2018-11-09 10:00:00,6437.02,2018-12-20 17:00:00,4092.03,36.43,188.83
buy,2018-12-20 17:00:00,4092.03,2018-12-25 04:00:00,3709.1,-9.36,171.16
sell,2018-12-25 04:00:00,3709.1,2019-01-06 18:00:00,4007.11,-8.03,157.41
buy,2019-01-06 18:00:00,4007.11,2019-01-10 07:00:00,3781.31,-5.63,148.55
sell,2019-01-10 07:00:00,3781.31,2019-02-08 17:00:00,3687.0,2.49,152.25
buy,2019-02-08 17:00:00,3687.0,2019-03-26 13:00:00,3903.13,5.86,161.17
sell,2019-03-26 13:00:00,3903.13,2019-03-27 06:00:00,4003.48,-2.57,157.03
buy,2019-03-27 06:00:00,4003.48,2019-07-15 01:00:00,10008.21,149.99,392.56
sell,2019-07-15 01:00:00,10008.21,2019-08-01 19:00:00,10170.36,-1.62,386.2
buy,2019-08-01 19:00:00,10170.36,2019-08-14 02:00:00,10617.91,4.4,403.19
sell,2019-08-14 02:00:00,10617.91,2019-08-20 00:00:00,10915.54,-2.8,391.9
buy,2019-08-20 00:00:00,10915.54,2019-08-21 04:00:00,10323.18,-5.43,370.62
sell,2019-08-21 04:00:00,10323.18,2019-09-02 21:00:00,10378.71,-0.54,368.62
buy,2019-09-02 21:00:00,10378.71,2019-09-09 08:00:00,10147.36,-2.23,360.4
sell,2019-09-09 08:00:00,10147.36,2019-09-12 22:00:00,10388.7,-2.38,351.82
buy,2019-09-12 22:00:00,10388.7,2019-09-16 13:00:00,10148.3,-2.31,343.69
sell,2019-09-16 13:00:00,10148.3,2019-10-25 16:00:00,8263.16,18.58,407.55
buy,2019-10-25 16:00:00,8263.16,2019-11-08 14:00:00,8810.59,6.62,434.53
sell,2019-11-08 14:00:00,8810.59,2020-01-05 02:00:00,7459.18,15.34,501.19
buy,2020-01-05 02:00:00,7459.18,2020-02-26 02:00:00,9205.46,23.41,618.52
sell,2020-02-26 02:00:00,9205.46,2020-04-02 17:00:00,6916.62,24.86,772.28
buy,2020-04-02 17:00:00,6916.62,2020-04-10 16:00:00,6766.43,-2.17,755.52
sell,2020-04-10 16:00:00,6766.43,2020-04-12 17:00:00,7142.34,-5.56,713.51
buy,2020-04-12 17:00:00,7142.34,2020-04-13 01:00:00,6718.85,-5.93,671.2
sell,2020-04-13 01:00:00,6718.85,2020-04-16 09:00:00,7045.27,-4.86,638.58
buy,2020-04-16 09:00:00,7045.27,2020-04-20 18:00:00,6872.59,-2.45,622.94
sell,2020-04-20 18:00:00,6872.59,2020-04-22 14:00:00,7061.34,-2.75,605.81
buy,2020-04-22 14:00:00,7061.34,2020-06-11 17:00:00,9117.01,29.11,782.16
sell,2020-06-11 17:00:00,9117.01,2020-06-22 17:00:00,9586.17,-5.15,741.88
buy,2020-06-22 17:00:00,9586.17,2020-06-24 11:00:00,9378.02,-2.17,725.78
sell,2020-06-24 11:00:00,9378.02,2020-07-06 13:00:00,9270.44,1.15,734.12
buy,2020-07-06 13:00:00,9270.44,2020-07-16 08:00:00,9123.69,-1.58,722.52
sell,2020-07-16 08:00:00,9123.69,2020-07-21 08:00:00,9315.29,-2.1,707.35
buy,2020-07-21 08:00:00,9315.29,2020-09-03 13:00:00,10818.93,16.14,821.52
sell,2020-09-03 13:00:00,10818.93,2020-09-15 14:00:00,10834.71,-0.15,820.29
buy,2020-09-15 14:00:00,10834.71,2020-09-21 15:00:00,10414.98,-3.87,788.54
sell,2020-09-21 15:00:00,10414.98,2020-09-28 01:00:00,10887.71,-4.54,752.74
buy,2020-09-28 01:00:00,10887.71,2020-10-01 17:00:00,10522.72,-3.35,727.52
sell,2020-10-01 17:00:00,10522.72,2020-10-05 14:00:00,10726.45,-1.94,713.41
buy,2020-10-05 14:00:00,10726.45,2020-10-06 20:00:00,10571.36,-1.45,703.07
sell,2020-10-06 20:00:00,10571.36,2020-10-08 14:00:00,10736.72,-1.56,692.1
buy,2020-10-08 14:00:00,10736.72,2021-01-21 15:00:00,31180.19,190.41,2009.92
sell,2021-01-21 15:00:00,31180.19,2021-01-29 01:00:00,34150.23,-9.53,1818.38
buy,2021-01-29 01:00:00,34150.23,2021-03-24 23:00:00,52534.03,53.83,2797.21
sell,2021-03-24 23:00:00,52534.03,2021-03-27 22:00:00,56433.17,-7.42,2589.65
buy,2021-03-27 22:00:00,56433.17,2021-04-18 04:00:00,55014.46,-2.51,2524.65
sell,2021-04-18 04:00:00,55014.46,2021-04-30 16:00:00,57180.06,-3.94,2425.18
buy,2021-04-30 16:00:00,57180.06,2021-05-04 16:00:00,53799.33,-5.91,2281.85
sell,2021-05-04 16:00:00,53799.33,2021-05-05 15:00:00,56982.8,-5.92,2146.77
buy,2021-05-05 15:00:00,56982.8,2021-05-11 03:00:00,54600.0,-4.18,2057.03
sell,2021-05-11 03:00:00,54600.0,2021-05-12 04:00:00,57756.94,-5.78,1938.14
buy,2021-05-12 04:00:00,57756.94,2021-05-12 17:00:00,55013.01,-4.75,1846.08
sell,2021-05-12 17:00:00,55013.01,2021-06-14 15:00:00,40543.46,26.3,2331.59
buy,2021-06-14 15:00:00,40543.46,2021-06-18 01:00:00,37675.5,-7.07,2166.75
sell,2021-06-18 01:00:00,37675.5,2021-07-24 17:00:00,34423.48,8.63,2353.74
buy,2021-07-24 17:00:00,34423.48,2021-09-07 16:00:00,46656.07,35.54,3190.26
sell,2021-09-07 16:00:00,46656.07,2021-09-15 14:00:00,47730.61,-2.3,3116.88
buy,2021-09-15 14:00:00,47730.61,2021-09-20 03:00:00,45938.37,-3.75,3000.0
sell,2021-09-20 03:00:00,45938.37,2021-10-01 08:00:00,44788.42,2.5,3075.0
buy,2021-10-01 08:00:00,44788.42,2021-11-16 05:00:00,61211.43,36.67,4202.6
sell,2021-11-16 05:00:00,61211.43,2021-12-01 15:00:00,58536.42,4.37,4386.26
buy,2021-12-01 15:00:00,58536.42,2021-12-02 04:00:00,56300.12,-3.82,4218.7
sell,2021-12-02 04:00:00,56300.12,2021-12-23 18:00:00,50060.01,11.08,4686.13
buy,2021-12-23 18:00:00,50060.01,2021-12-28 18:00:00,48030.43,-4.05,4496.34
sell,2021-12-28 18:00:00,48030.43,2022-02-05 01:00:00,41471.41,13.66,5110.55
buy,2022-02-05 01:00:00,41471.41,2022-02-17 19:00:00,41292.65,-0.43,5088.57
sell,2022-02-17 19:00:00,41292.65,2022-02-28 17:00:00,41010.09,0.68,5123.17
buy,2022-02-28 17:00:00,41010.09,2022-03-04 19:00:00,40605.88,-0.99,5072.45
sell,2022-03-04 19:00:00,40605.88,2022-03-09 04:00:00,41217.73,-1.51,4995.86
buy,2022-03-09 04:00:00,41217.73,2022-03-10 05:00:00,39540.63,-4.07,4792.53
sell,2022-03-10 05:00:00,39540.63,2022-03-16 09:00:00,40309.99,-1.95,4699.07
buy,2022-03-16 09:00:00,40309.99,2022-04-08 19:00:00,42957.57,6.57,5007.8
sell,2022-04-08 19:00:00,42957.57,2022-04-21 14:00:00,42693.0,0.62,5038.85
buy,2022-04-21 14:00:00,42693.0,2022-04-21 21:00:00,40609.25,-4.88,4792.95
sell,2022-04-21 21:00:00,40609.25,2022-06-06 14:00:00,31442.96,22.57,5874.72
buy,2022-06-06 14:00:00,31442.96,2022-06-07 01:00:00,30197.77,-3.96,5642.09
sell,2022-06-07 01:00:00,30197.77,2022-06-07 20:00:00,31059.71,-2.85,5481.29
buy,2022-06-07 20:00:00,31059.71,2022-06-08 05:00:00,30248.45,-2.61,5338.22
sell,2022-06-08 05:00:00,30248.45,2022-07-18 09:00:00,22289.81,26.31,6742.71
buy,2022-07-18 09:00:00,22289.81,2022-07-26 00:00:00,21310.9,-4.39,6446.71
sell,2022-07-26 00:00:00,21310.9,2022-07-27 19:00:00,22554.45,-5.84,6070.22
buy,2022-07-27 19:00:00,22554.45,2022-08-10 01:00:00,22771.87,0.96,6128.49
sell,2022-08-10 01:00:00,22771.87,2022-08-10 13:00:00,23985.18,-5.33,5801.84
buy,2022-08-10 13:00:00,23985.18,2022-08-17 14:00:00,23424.41,-2.34,5666.08
sell,2022-08-17 14:00:00,23424.41,2022-09-12 08:00:00,22193.64,5.25,5963.55
buy,2022-09-12 08:00:00,22193.64,2022-09-13 19:00:00,20246.35,-8.77,5440.55
sell,2022-09-13 19:00:00,20246.35,2022-10-04 21:00:00,20326.4,-0.4,5418.78
buy,2022-10-04 21:00:00,20326.4,2022-10-07 13:00:00,19616.92,-3.49,5229.67
sell,2022-10-07 13:00:00,19616.92,2022-10-25 16:00:00,19748.48,-0.67,5194.63
buy,2022-10-25 16:00:00,19748.48,2022-11-08 04:00:00,20148.66,2.03,5300.08
sell,2022-11-08 04:00:00,20148.66,2022-12-13 14:00:00,17897.86,11.17,5892.1
